product_id,sku,upc,product_name,category,subcategory,brand,prescription_required,controlled_category,unit_cost,retail_price,gross_margin_percent,reorder_point,vendor_id,status
PRD-00001,SKU-10001,100000000001,Antacid Chewables,OTC Medication,Cold & Flu,ValueCare,False,None,34.5,52.08,33.8,14,VND-028,Active
PRD-00002,SKU-10002,100000000002,Mock Rx Product BValue Pack,Prescription Medication,Maintenance Rx,BrightSmile,True,None,10.91,25.35,57.0,28,VND-035,Active
PRD-00003,SKU-10003,100000000003,Pain Relief Tablets,OTC Medication,Allergy,FreshWay,False,None,20.76,35.54,41.6,10,VND-004,Active
PRD-00004,SKU-10004,100000000004,Bottled Water,Beverages,Soda,CareFirst,False,None,21.13,40.08,47.3,17,VND-008,Active
PRD-00005,SKU-10005,100000000005,School Supplies50 Count,Seasonal,Holiday,GlowUp,False,None,2.11,2.92,27.7,23,VND-034,Active
PRD-00006,SKU-10006,100000000006,Laundry Detergent100 Count,Household,Laundry,PureHealth,False,None,25.28,37.66,32.9,9,VND-020,Active
PRD-00007,SKU-10007,100000000007,Snickers Bar,Snacks,Cookies,HealthPlus,False,None,16.45,39.12,57.9,7,VND-035,Active
PRD-00008,SKU-10008,100000000008,Antiseptic SprayLarge,First Aid,Wound Care,DailyChoice,False,None,30.92,67.24,54.0,14,VND-011,Active
PRD-00009,SKU-10009,100000000009,Trail Mix100 Count,Snacks,Cookies,FreshWay,False,None,18.87,35.63,47.0,14,VND-007,Active
PRD-00010,SKU-10010,100000000010,Crest Toothpaste,Personal Care,Skin Care,WellLife,False,None,26.18,37.47,30.1,24,VND-014,Active
PRD-00011,SKU-10011,100000000011,Mock Rx Product B100 Count,Prescription Medication,Specialty Rx,ValueCare,True,None,22.47,33.9,33.7,13,VND-004,Active
PRD-00012,SKU-10012,100000000012,Daily Multivitamin,Vitamins & Supplements,Minerals,GlowUp,False,None,0.87,1.76,50.4,13,VND-011,Active
PRD-00013,SKU-10013,100000000013,Mock Rx Product E100 Count,Prescription Medication,Maintenance Rx,HealthPlus,True,None,15.4,20.62,25.3,35,VND-010,Active
PRD-00014,SKU-10014,100000000014,Orange Juice50 Count,Beverages,Soda,UnityCare,False,None,19.67,32.34,39.2,14,VND-024,Active
PRD-00015,SKU-10015,100000000015,Cold & Flu Capsules100 Count,OTC Medication,Allergy,FreshWay,False,None,9.3,12.99,28.4,33,VND-027,Active
PRD-00016,SKU-10016,100000000016,Travel KitValue Pack,Seasonal,Holiday,PureHealth,False,None,34.19,70.87,51.8,5,VND-012,Active
PRD-00017,SKU-10017,100000000017,Mock Rx Product D100 Count,Prescription Medication,Specialty Rx,WellLife,True,None,30.34,62.89,51.8,10,VND-007,Active
PRD-00018,SKU-10018,100000000018,CrackersValue Pack,Grocery,Pantry,DailyChoice,False,None,7.59,16.98,55.3,14,VND-015,Active
PRD-00019,SKU-10019,100000000019,Instant Cold PackValue Pack,First Aid,Bandages,HealthPlus,False,None,14.4,21.88,34.2,35,VND-018,Active
PRD-00020,SKU-10020,100000000020,Disinfecting Wipes50 Count,Household,Batteries,WellLife,False,None,12.09,16.32,25.9,10,VND-017,Active
PRD-00021,SKU-10021,100000000021,Cough SyrupTravel,OTC Medication,Pain Relief,PureHealth,False,None,12.59,25.67,51.0,24,VND-033,Active
PRD-00022,SKU-10022,100000000022,Fish OilValue Pack,Vitamins & Supplements,Minerals,UnityCare,False,None,9.47,18.35,48.4,21,VND-035,Active
PRD-00023,SKU-10023,100000000023,Face MasksTravel,Medical Supplies,Thermometers,DailyChoice,False,None,3.15,5.93,46.9,24,VND-021,Active
PRD-00024,SKU-10024,100000000024,LancetsLarge,Medical Supplies,Glucose Monitoring,DailyChoice,False,None,18.12,34.19,47.0,17,VND-019,Active
PRD-00025,SKU-10025,100000000025,Bottled WaterTravel,Beverages,Water,HomeEase,False,None,23.52,37.64,37.5,33,VND-012,Active
PRD-00026,SKU-10026,100000000026,Umbrella50 Count,Seasonal,Back to School,CareFirst,False,None,29.31,45.11,35.0,18,VND-021,Active
PRD-00027,SKU-10027,100000000027,Protein Bar100 Count,Snacks,Protein Bars,HomeEase,False,None,8.07,13.59,40.6,10,VND-006,Active
PRD-00028,SKU-10028,100000000028,Face CleanserValue Pack,Beauty,Nail Care,CareFirst,False,None,23.79,35.2,32.4,9,VND-002,Active
PRD-00029,SKU-10029,100000000029,Antacid Chewables50 Count,OTC Medication,Cold & Flu,PureHealth,False,None,29.85,41.12,27.4,33,VND-013,Active
PRD-00030,SKU-10030,100000000030,Mock Rx Product DTravel,Prescription Medication,Maintenance Rx,UnityCare,True,None,9.11,17.08,46.6,33,VND-007,Active
PRD-00031,SKU-10031,100000000031,Peanut Butter100 Count,Grocery,Breakfast,CareFirst,False,None,18.49,25.21,26.7,34,VND-008,Active
PRD-00032,SKU-10032,100000000032,Protein Bar100 Count,Snacks,Chips,DailyChoice,False,None,18.94,33.49,43.4,35,VND-029,Active
PRD-00033,SKU-10033,100000000033,School SuppliesTravel,Seasonal,Travel,ValueCare,False,None,31.48,62.39,49.5,19,VND-017,Active
PRD-00034,SKU-10034,100000000034,Elastic WrapTravel,First Aid,Wound Care,HealthPlus,False,None,22.22,33.7,34.1,27,VND-019,Active
PRD-00035,SKU-10035,100000000035,Gauze PadsLarge,First Aid,Wound Care,MedCheck,False,None,31.34,43.32,27.7,12,VND-025,Active
PRD-00036,SKU-10036,100000000036,Mock Rx Product FValue Pack,Prescription Medication,Brand Rx,FreshWay,True,None,2.95,4.79,38.5,19,VND-027,Active
PRD-00037,SKU-10037,100000000037,Antacid ChewablesTravel,OTC Medication,Cold & Flu,HomeEase,False,None,31.74,56.96,44.3,5,VND-025,Active
PRD-00038,SKU-10038,100000000038,Chocolate CookiesLarge,Snacks,Candy,PureHealth,False,None,26.56,56.71,53.2,22,VND-035,Active
PRD-00039,SKU-10039,100000000039,UmbrellaValue Pack,Seasonal,Holiday,PureHealth,False,None,10.1,17.13,41.0,15,VND-026,Active
PRD-00040,SKU-10040,100000000040,Mock Rx Product DValue Pack,Prescription Medication,Brand Rx,PureHealth,True,None,34.34,59.85,42.6,23,VND-002,Active
PRD-00041,SKU-10041,100000000041,Vitamin CTravel,Vitamins & Supplements,Minerals,DailyChoice,False,None,6.97,10.49,33.6,11,VND-030,Active
PRD-00042,SKU-10042,100000000042,BatteriesLarge,Household,Laundry,WellLife,False,None,26.51,55.76,52.5,31,VND-006,Active
PRD-00043,SKU-10043,100000000043,Gummy Candy50 Count,Snacks,Candy,CareFirst,False,None,2.53,5.8,56.4,25,VND-005,Active
PRD-00044,SKU-10044,100000000044,Glucose Test StripsValue Pack,Medical Supplies,Glucose Monitoring,MedCheck,False,None,7.58,10.2,25.7,12,VND-009,Active
PRD-00045,SKU-10045,100000000045,Trail MixValue Pack,Snacks,Candy,DailyChoice,False,None,16.68,25.07,33.5,10,VND-008,Active
